Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceColor,FluorescenceIntensity,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean,Origin,Certi Comment,Table Inc.,Table Black,Table Open,Side Inc.,Side Black,Side Open,Girdle Open,Pavallion Open
283178,Subject to Prior Sale,PEAR,1.01,H,VVS1,,VG,EX,BLUE,VST,8.950 - 5.690 X 3.510,GIA,3465635159,6600.0,57.0,2838.0,NONE,NONE,NONE,61.8,63.0,MED,THK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K201-283178/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K201-283178,https://thnk18.azureedge.net/img/CertImages/3465635159.jpg,,,,PINPOINT,NONE,NONE,NONE,100.0,-,,MINOR PINPOINT,NONE,NONE,NONE,NONE,NONE,NONE,NONE
283179,Subject to Prior Sale,ROUND,6.01,F,SI1,EX,EX,EX,BLUE,STG,11.540 - 11.440 X 7.270,GIA,6227955426,37000.0,55.0,16650.0,NONE,NONE,NONE,63.3,56.0,THN,STK,3.5,FACETED,NON,,16.5,36.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/K199-283179/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K199-283179,https://thnk18.azureedge.net/img/CertImages/6227955426.jpg,,,,TWINNING WISP  FEATHER  INDENTED NATURAL  NATURAL,NONE,PIN POINT BLK,NONE,85.0,-,ADDITIONAL TWINNING WISPS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,MINOR FEATHER,PIN POINT BLK,NONE,MINOR FEATHER,MINOR BLK,NONE,SMALL OPEN,NONE
283182,Subject to Prior Sale,ROUND,0.47,F,VVS2,EX,EX,EX,,NON,5.050 - 5.020 X 3.060,GIA,7468619530,3100.0,31.0,2139.0,NONE,NONE,NONE,60.8,57.0,THN,STK,3.5,Faceted,NON,,13.5,32.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/K472-283182/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K472-283182,https://thnk18.azureedge.net/img/CertImages/7468619530.jpg,,,,Pinpoint,NONE,NONE,NONE,100.0,-,,MEDIUM PINPOINT,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
283185,Subject to Prior Sale,OVAL,1.0,H,SI2,,EX,G,,NON,7.630 - 5.650 X 3.430,GIA,1467740284,4000.0,53.0,1880.0,NONE,NONE,NONE,60.7,57.0,THN,ETK,0.0,Faceted,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K472-283185/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K472-283185,https://thnk18.azureedge.net/img/CertImages/1467740284.jpg,,,,Crystal  Feather  Cavity  Needle  Natural,NONE,MEDIUM BLK,NONE,80.0,-,Clouds  pinpoints and surface graining are not shown.,MINOR CRYSTAL,MEDIUM BLK,NONE,MEDIUM FEATHER,MEDIUM BLK,SMALL OPEN,SMALL OPEN,HAIR LINE
283191,Subject to Prior Sale,ROUND,1.01,G,VS1,EX,EX,EX,,NON,6.510 - 6.450 X 3.900,IGI,573308453,8900.0,54.0,4094.0,NONE,NONE,NONE,60.2,60.0,MEDIUM,SLIGHTLY THICK (FACETE,3.0,,NON,,12.5,32.4,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/K472-283191/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K472-283191,https://thnk18.azureedge.net/img/CertImages/573308453.jpg,,,,,NONE,PIN POINT BLK,NONE,100.0,-,N/A,MINOR FEATHER,PIN POINT BLK,HAIR LINE,MINOR CLOUD,NONE,NONE,NONE,NONE
283193,Subject to Prior Sale,ROUND,1.2,N,VVS1,EX,EX,EX,,FNT,6.810 - 6.760 X 4.230,GIA,7466806487,3700.0,44.5,2053.5,NONE,NONE,NONE,62.4,59.0,THN,MED,3.5,Faceted,NON,,15.0,36.0,44.0,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/K193-283193/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K193-283193,https://thnk18.azureedge.net/img/CertImages/7466806487.jpg,,,,Pinpoint  Feather,NONE,NONE,NONE,100.0,-,,MINOR PINPOINT,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
283194,Subject to Prior Sale,ROUND,0.6,E,IF,EX,EX,EX,,NON,5.470 - 5.440 X 3.380,GIA,6465619053,5800.0,26.0,4292.0,NONE,NONE,NONE,61.9,56.0,THN,MED,2.5,Faceted,NON,,15.0,34.0,44.5,41.8,MUM,https://thnk18.azureedge.net/img/images/imaged/K468-283194/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K468-283194,https://thnk18.azureedge.net/img/CertImages/6465619053.jpg,,,,Minor Details of Polish,INSPECTION ADVISABLE,NONE,NONE,100.0,-,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
283203,Subject to Prior Sale,OVAL,0.7,G,VVS1,,EX,VG,,NON,7.410 - 4.990 X 2.850,GIA,6462634259,4700.0,39.0,2867.0,NONE,NONE,NONE,57.2,61.0,STK,THK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K213-283203/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K213-283203,https://thnk18.azureedge.net/img/CertImages/6462634259.jpg,,,,PINPOINT,NONE,NONE,NONE,100.0,-,,MINOR CLOUD,NONE,NONE,NONE,NONE,NONE,NONE,NONE
283207,Subject to Prior Sale,SQUARE EMERALD,1.5,G,VVS2,,EX,VG,,NON,6.210 - 5.890 X 4.240,GIA,2467624973,11700.0,66.0,3978.0,NONE,NONE,NONE,72.0,69.0,VTK,ETK,0.0,Polished,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K196-283207/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K196-283207,https://thnk18.azureedge.net/img/CertImages/2467624973.jpg,,,,Needle  Feather  Pinpoint,NONE,PIN POINT BLK,NONE,100.0,-,,NONE,PIN POINT BLK,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
283215,Subject to Prior Sale,CUSHION MODIFIED,1.01,*,SI1,,VG,G,,NON,5.450 - 5.370 X 3.650,GIA,1226948980,1800.0,0.0,1800.0,YELLOW,FANCY LIGHT,,67.9,58.0,ETK,,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/K466-283215/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=K466-283215,https://thnk18.azureedge.net/img/CertImages/1226948980.jpg,,,,CRYSTAL  CLOUD,NONE,MEDIUM BLK,NONE,90.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN.,NONE,MEDIUM BLK,NONE,MINOR CLOUD,PIN POINT BLK,NONE,NONE,NONE
