REPORT_NO,CERTI_IMAGE,B2B_MP4,HEART_IMAGE,PLOTTING_IMAGE,PURITY,COLOR,REPORT_COMMENT,CROWN_ANGLE,CROWN_HEIGHT,CULET,CUT,DEPTH_PER,REAL_IMAGE,EYE_CLEAN,FLS,KEY_TO_SYMBOLS,LAB,LASER_INSCRIPTION,MEASUREMENT,LENGTH_1,WIDTH,DEPTH,PAV_ANGLE,PAV_HEIGHT,POLISH,RAP_PRICE,CTS,AVG_DIA,DISC_PER,NET_RATE,NET_VALUE,SHAPE,SHADE,SYMM,TABLE_PER,HA,PACKET_NO,LOCATION,CENTER_NATTS,SIDE_NATTS,CENTER_FEATHER,SIDE_FEATHER,CROWN_OPEN,POP,XTOP,BRAND,TYPE2_CERT,BRILLIANCY,DNA,ARROW_IMAGE,ASST_SCOPE_IMAGE,B2C_MP4,B2C_IMAGE,GIRDLE,COMMENTS,CERTI_LINK,VIDEO
2221991141,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221991141.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1113098901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1113098901.gif,VVS1,E,Additional pinpoints are not shown.,36,15.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/still.jpg,Y,STG,Pinpoint  Needle,GIA,GIA 2221991141,12.75*12.68*7.94,12.75,12.68,7.94,40.6,43,EX,82500,8.02,0,-53,38775,310975.5,RD,WHT,EX,57,EX,1113098901,IND,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/1113098901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1113098901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113098901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113098901/still.jpg,MED - STK,,,
2221901636,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221901636.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113045001&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113045001.gif,VS1,F,Additional clouds are not shown.,33.5,13.5,NONE,EX,61,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/still.jpg,Y,NON,Cloud  Crystal,GIA,GIA 2221901636,12.32*12.26*7.5,12.32,12.26,7.5,40.8,43,EX,56500,7.02,0,-24,42940,301438.8,RD,WHT,EX,59,EX,3113045001,USA,CN0,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113045001,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113045001/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113045001/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113045001/still.jpg,MED - STK,,,
2225927999,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225927999.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113044601&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113044601.gif,VS2,K,Clouds are not shown. Pinpoints are not shown.,36.5,15.5,NONE,EX,62.6,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/still.jpg,Y,NON,Feather  Crystal  Needle  Indented Natural,GIA,GIA 2225927999,11.59*11.51*7.24,11.59,11.51,7.24,41,43,EX,18000,6.01,0,-29,12780,76807.8,RD,LYL,EX,58,EX,3113044601,IND,CN1,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113044601,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113044601/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113044601/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113044601/still.jpg,MED - STK,,,
2225926729,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225926729.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1113088601&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1113088601.gif,VVS1,F,,35.5,15,NONE,EX,62.7,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/still.jpg,Y,STG,Pinpoint  Feather,GIA,GIA 2225926729,11.25*11.16*7.02,11.25,11.16,7.02,41,43.5,EX,71500,5.5,0,-65,25025,137637.5,RD,WHT,EX,58,VG,1113088601,IND,CN0,SN0,CW0,SW0,N,N,N,,,VG,http://view.diadna.com/dna/1113088601,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1113088601/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113088601/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113088601/still.jpg,MED - STK,,,
6452991581,http://diamondmedia.s3.amazonaws.com/CERTPDF/6452991581.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=4143002401&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/4143002401.gif,VVS2,D,Additional clouds are not shown. Additional pinpoints are not shown.,35.5,14.5,NONE,EX,62,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/still.jpg,Y,NON,Pinpoint  Cloud  Feather,GIA,GIA 6452991581,11.41*11.32*7.04,11.41,11.32,7.04,40.8,43,EX,83500,5.69,0,-37,52605,299322.45,RD,WHT,EX,59,VG,4143002401,USA,CN0,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/4143002401,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/4143002401/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143002401/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143002401/still.jpg,STK,,,
1226991152,http://diamondmedia.s3.amazonaws.com/CERTPDF/1226991152.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1723004101&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1723004101.gif,VS1,F,Pinpoints are not shown.,35.5,15.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/still.jpg,Y,MED,Crystal  Needle,GIA,GIA 1226991152,11.25*11.18*7,11.25,11.18,7,40.6,43,EX,56500,5.52,0,-54,25990,143464.8,RD,WHT,EX,57,VG,1723004101,IND,CN1,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/1723004101,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1723004101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1723004101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1723004101/still.jpg,STK,,,
7466718580,http://diamondmedia.s3.amazonaws.com/CERTPDF/7466718580.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113103501&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113103501.gif,VS1,H,Additional clouds are not shown. Pinpoints are not shown.,34,13.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/still.jpg,Y,NON,Cloud  Feather  Needle,GIA,GIA 7466718580,10.95*10.87*6.81,10.95,10.87,6.81,41.8,44.5,EX,38500,5.01,0,-34,25410,127304.1,RD,WHT,EX,60,VG,3113103501,USA,CN0,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113103501,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113103501/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113103501/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113103501/still.jpg,MED - STK,,,
7461811332,http://diamondmedia.s3.amazonaws.com/CERTPDF/7461811332.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=4143001901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/4143001901.gif,VS2,K,Pinpoints are not shown. Clouds are not shown.,36,15.5,NONE,EX,62.8,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/still.jpg,Y,MED,Crystal  Feather  Needle,GIA,GIA 7461811332,10.87*10.8*6.81,10.87,10.8,6.81,40.8,43,EX,18000,5.02,0,-43,10260,51505.2,RD,LYL,EX,58,VG,4143001901,USA,CN1,SN1,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/4143001901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/4143001901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143001901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143001901/still.jpg,STK,,,
1226927977,http://diamondmedia.s3.amazonaws.com/CERTPDF/1226927977.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=2303005101&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/2303005101.gif,VS2,L,Additional clouds are not shown. Pinpoints are not shown.,35.5,15,NONE,EX,62.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/still.jpg,Y,FNT,Cloud  Crystal  Needle,GIA,GIA 1226927977,10.95*10.86*6.79,10.95,10.86,6.79,40.8,43,EX,14500,5.06,0,-38,8990,45489.4,RD,LYL,EX,58,VG,2303005101,IND,CN1,SN0,CW1,SW0,N,N,N,,,EX,http://view.diadna.com/dna/2303005101,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/2303005101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/2303005101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/2303005101/still.jpg,MED - STK,,,
3465127202,http://diamondmedia.s3.amazonaws.com/CERTPDF/3465127202.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113046901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113046901.gif,SI1,L,Clouds are not shown. Pinpoints are not shown.,32,13,NONE,EX,61.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/still.jpg,N,NON,Crystal  Needle,GIA,GIA 3465127202,11.1*11.06*6.79,11.1,11.06,6.79,41.6,44.5,EX,13500,5.1,0,-47,7155,36490.5,RD,LYL,EX,59,VG,3113046901,USA,CN3,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113046901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113046901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113046901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113046901/still.jpg,MED - STK,,,
6224774791,http://diamondmedia.s3.amazonaws.com/CERTPDF/6224774791.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=9032000300&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/9032000300/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/9032000300.gif,SI2,D,Additional twinning wisps  pinpoints and surface graining are not shown.,35.5,15.5,NONE,EX,62.5,http://diamondmedia.s3.amazonaws.com/B2B/imaged/9032000300/still.jpg,Y,FNT,Twinning Wisp  Crystal  Feather,GIA,GIA 6224774791,11.44*11.38*7.13,11.44,11.38,7.13,41.2,43.5,EX,32500,5.72,0,-40,19500,111540,RD,WHT,EX,57,VG,9032000300,USA,CN1,SN1,CW1,SW2,N,N,N,,,EX,http://view.diadna.com/dna/9032000300,http://diamondmedia.s3.amazonaws.com/B2B/imaged/9032000300/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/9032000300/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/9032000300/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/9032000300/still.jpg,MED - STK,,,
7468949441,http://diamondmedia.s3.amazonaws.com/CERTPDF/7468949441.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113128001&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113128001/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113128001.gif,VS1,I,Pinpoints are not shown.,34.5,14,NONE,EX,62.5,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113128001/still.jpg,Y,NON,Crystal  Needle,GIA,GIA 7468949441,10.52*10.45*6.56,10.52,10.45,6.56,41.8,44.5,EX,24000,4.5,0,-26,17760,79920,RD,OWH,EX,60,VG,3113128001,USA,CN1,SN1,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113128001,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113128001/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113128001/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113128001/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113128001/still.jpg,STK,,,
2223964586,http://diamondmedia.s3.amazonaws.com/CERTPDF/2223964586.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1303053701&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303053701/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1303053701.gif,VS1,L,Pinpoints are not shown.,32.5,13.5,NONE,EX,62.5,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303053701/still.jpg,Y,MED,Crystal  Cloud  Indented Natural  Needle  Natural,GIA,GIA 2223964586,10.18*10.1*6.34,10.18,10.1,6.34,41.8,44.5,EX,12500,4,0,-39,7625,30500,RD,LYL,EX,57,VG,1303053701,IND,CN0,SN0,CW0,SW1,N,N,N,,,EX,http://view.diadna.com/dna/1303053701,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303053701/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1303053701/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1303053701/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1303053701/still.jpg,MED - STK,,,
5221888461,http://diamondmedia.s3.amazonaws.com/CERTPDF/5221888461.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1603010801&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1603010801/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1603010801.gif,VS2,D,,34.5,14,NONE,EX,60.8,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1603010801/still.jpg,Y,FNT,Crystal  Indented Natural  Pinpoint  Natural,GIA,GIA 5221888461,10.2*10.11*6.18,10.2,10.11,6.18,40.6,42.5,EX,44000,4,0,-48,22880,91520,RD,WHT,EX,59,VG,1603010801,USA,CN0,SN0,CW3,SW1,N,N,N,,,EX,http://view.diadna.com/dna/1603010801,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1603010801/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1603010801/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1603010801/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1603010801/still.jpg,STK,,,
6462464702,http://diamondmedia.s3.amazonaws.com/CERTPDF/6462464702.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113049601&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113049601/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113049601.gif,SI2,Q-R,Additional twinning wisps  clouds  pinpoints and surface graining are not shown.,35.5,15.5,NONE,EX,62,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113049601/still.jpg,Y,STG,Feather  Twinning Wisp  Crystal  Needle,GIA,GIA 6462464702,10.17*10.12*6.29,10.17,10.12,6.29,40.6,42.5,EX,8000,4.01,0,-46.5,4280,17162.8,RD,YEL,EX,57,EX,3113049601,USA,CN1,SN1,CW1,SW2,N,N,N,,,EX,http://view.diadna.com/dna/3113049601,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113049601/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113049601/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113049601/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113049601/still.jpg,MED - STK,,,
6224902093,http://diamondmedia.s3.amazonaws.com/CERTPDF/6224902093.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1812021801&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1812021801/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1812021801.gif,FL,D,,35.5,15,NONE,EX,62,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1812021801/still.jpg,Y,NON,,GIA,GIA 6224902093,9.64*9.56*5.95,9.64,9.56,5.95,40.6,43,EX,70000,3.43,0,-35.6,45080,154624.4,RD,WHT,EX,58,VG,1812021801,USA,CN0,SN0,CW0,SW0,N,N,N,,IIA,EX,http://view.diadna.com/dna/1812021801,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1812021801/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1812021801/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1812021801/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1812021801/still.jpg,MED - STK,,,
6461935683,http://diamondmedia.s3.amazonaws.com/CERTPDF/6461935683.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1503004001&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1503004001/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1503004001.gif,FL,H,,34.5,14.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1503004001/still.jpg,Y,FNT,,GIA,GIA 6461935683,9.23*9.16*5.74,9.23,9.16,5.74,41.6,44,EX,31000,3.01,0,-50,15500,46655,RD,WHT,EX,59,VG,1503004001,IND,CN0,SN0,CW0,SW0,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1503004001,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1503004001/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1503004001/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1503004001/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1503004001/still.jpg,STK,,,
2221959925,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221959925.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1303003401&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303003401/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1303003401.gif,IF,E,Minor details of polish are not shown.,35.5,15,NONE,EX,62.1,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303003401/still.jpg,Y,NON,,GIA,GIA 2221959925,9.24*9.18*5.72,9.24,9.18,5.72,40.8,43,EX,56500,3.02,0,-42.9,32261.5,97429.73,RD,WHT,EX,58,EX,1303003401,IND,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/1303003401,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1303003401/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1303003401/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1303003401/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1303003401/still.jpg,MED - STK,,,
2467854566,http://diamondmedia.s3.amazonaws.com/CERTPDF/2467854566.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113105301&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113105301/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113105301.gif,IF,G,Minor details of polish are not shown.,35.5,14.5,NONE,EX,62.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113105301/still.jpg,Y,NON,,GIA,GIA 2467854566,9.5*9.42*5.89,9.5,9.42,5.89,41,43.5,EX,39000,3.29,0,-35,25350,83401.5,RD,WHT,EX,59,VG,3113105301,USA,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/3113105301,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113105301/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113105301/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113105301/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113105301/still.jpg,MED - STK,,,
7462643520,http://diamondmedia.s3.amazonaws.com/CERTPDF/7462643520.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113095901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113095901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113095901.gif,IF,G,Minor details of polish are not shown.,35,15,NONE,EX,61.6,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113095901/still.jpg,Y,FNT,,GIA,GIA 7462643520,9.34*9.26*5.73,9.34,9.26,5.73,40.8,43,EX,39000,3.07,0,-50,19500,59865,RD,WHT,EX,58,VG,3113095901,USA,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/3113095901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113095901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113095901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113095901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113095901/still.jpg,MED - STK,,,
6472044990,http://diamondmedia.s3.amazonaws.com/CERTPDF/6472044990.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=6523000301&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/6523000301/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/6523000301.gif,VVS1,D,Internal graining is not shown.,34.5,14.5,,EX,62.6,http://diamondmedia.s3.amazonaws.com/B2B/imaged/6523000301/still.jpg,Y,STG,Feather,GIA,GIA 6472044990,9.3*9.23*5.8,9.3,9.23,5.8,41.4,44,EX,56000,3.08,0,-63,20720,63817.6,RD,WHT,EX,59,VG,6523000301,USA,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/6523000301,http://diamondmedia.s3.amazonaws.com/B2B/imaged/6523000301/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/6523000301/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/6523000301/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/6523000301/still.jpg,MED - STK,,,
1463399815,http://diamondmedia.s3.amazonaws.com/CERTPDF/1463399815.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113057501&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113057501/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113057501.gif,VVS1,H,Surface graining is not shown.,35,14,NONE,EX,60.9,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113057501/still.jpg,Y,NON,Cloud  Pinpoint  Feather,GIA,GIA 1463399815,9.66*9.6*5.87,9.66,9.6,5.87,40.6,43,EX,28500,3.4,0,-35,18525,62985,RD,WHT,EX,59,EX,3113057501,USA,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/3113057501,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113057501/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113057501/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113057501/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113057501/still.jpg,MED - STK,,,
2225992547,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225992547.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1403087201&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403087201/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1403087201.gif,VVS1,H,,34.5,14,NONE,EX,62.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403087201/still.jpg,Y,NON,Pinpoint,GIA,GIA 2225992547,9.25*9.17*5.74,9.25,9.17,5.74,41.6,44.5,EX,28500,3.01,0,-34.5,18667.5,56189.18,RD,WHT,EX,59,VG,1403087201,IND,CN0,SN0,CW0,SW0,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1403087201,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403087201/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1403087201/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403087201/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403087201/still.jpg,MED - STK,,,
