REPORT_NO,CERTI_IMAGE,B2B_MP4,HEART_IMAGE,PLOTTING_IMAGE,PURITY,COLOR,REPORT_COMMENT,CROWN_ANGLE,CROWN_HEIGHT,CULET,CUT,DEPTH_PER,REAL_IMAGE,EYE_CLEAN,FLS,KEY_TO_SYMBOLS,LAB,LASER_INSCRIPTION,MEASUREMENT,LENGTH_1,WIDTH,DEPTH,PAV_ANGLE,PAV_HEIGHT,POLISH,RAP_PRICE,CTS,AVG_DIA,DISC_PER,NET_RATE,NET_VALUE,SHAPE,SHADE,SYMM,TABLE_PER,HA,PACKET_NO,LOCATION,CENTER_NATTS,SIDE_NATTS,CENTER_FEATHER,SIDE_FEATHER,CROWN_OPEN,POP,XTOP,BRAND,TYPE2_CERT,BRILLIANCY,DNA,ARROW_IMAGE,ASST_SCOPE_IMAGE,B2C_MP4,B2C_IMAGE,GIRDLE,COMMENTS,CERTI_LINK,VIDEO
5232001040,http://diamondmedia.s3.amazonaws.com/CERTPDF/5232001040.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1403079001&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1403079001.gif,VS2,E,Additional clouds are not shown. Pinpoints are not shown.,44.13,10.41,NONE,,73.9,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403079001/still.jpg,Y,NON,Crystal  Cloud  Needle,GIA,GIA 5232001040,5.72*5.69*4.21,5.72,5.69,4.21,61.1,59.6,EX,7200,1.18,1.01,-40,4320,5097.6,PC,WHT,EX,74,,1403079001,IND,CN1,SN0,CW1,SW1,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1403079001,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1403079001/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403079001/video.mp4,false,THK,,,
6227908203,http://diamondmedia.s3.amazonaws.com/CERTPDF/6227908203.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1403017201&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1403017201.gif,VS2,G,Pinpoints are not shown.,47.56,13.44,NONE,,71.7,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403017201/still.jpg,Y,NON,Crystal  Cloud,GIA,GIA 6227908203,5.75*5.68*4.07,5.75,5.68,4.07,59.49,53.76,EX,6600,1.2,1.01,-46.4,3537.6,4245.12,PC,WHT,VG,72,,1403017201,IND,CN2,SN0,CW2,SW1,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1403017201,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1403017201/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403017201/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403017201/still.jpg,VTK,,,
2225939686,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225939686.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1403056301&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1403056301.gif,VS2,H,Clouds are not shown. Pinpoints are not shown.,42.31,8.75,NONE,,72.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403056301/still.jpg,Y,NON,Feather  Crystal  Needle,GIA,GIA 2225939686,5.86*5.8*4.2,5.86,5.8,4.2,61.12,60.52,EX,5700,1.19,1.01,-39.4,3454.2,4110.5,PC,WHT,EX,72,,1403056301,IND,CN1,SN0,CW1,SW1,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1403056301,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1403056301/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403056301/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403056301/still.jpg,STK - THK,,,
2225572890,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225572890.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1302056101&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1302056101.gif,VS2,I,,43.19,8.39,NONE,,71.2,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1302056101/still.jpg,Y,NON,Feather,GIA,GIA 2225572890,6.13*5.9*4.2,6.13,5.9,4.2,57.14,60.95,EX,4800,1.2,1.04,-34,3168,3801.6,PC,OWH,VG,73,,1302056101,USA,CN0,SN0,CW1,SW2,N,Y,N,,,EX,http://view.diadna.com/dna/1302056101,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1302056101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1302056101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1302056101/still.jpg,MED,,,
6227546672,http://diamondmedia.s3.amazonaws.com/CERTPDF/6227546672.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1222012101&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1222012101.gif,SI1,E,Pinpoints are not shown.,45.68,9.04,NONE,,66.9,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1222012101/still.jpg,Y,NON,Crystal  Cloud  Feather  Needle,GIA,GIA 6227546672,6.02*5.84*3.91,6.02,5.84,3.91,57.83,53.57,EX,5600,1.18,1.03,-48,2912,3436.16,PC,WHT,VG,74,,1222012101,USA,CN3,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/1222012101,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1222012101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1222012101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1222012101/still.jpg,THK - VTK,,,
6223784509,http://diamondmedia.s3.amazonaws.com/CERTPDF/6223784509.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1112122802&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1112122802.gif,SI1,G,,46.85,8.57,NONE,,73,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1112122802/still.jpg,Y,NON,Feather,GIA,GIA 6223784509,6.04*5.87*4.28,6.04,5.87,4.28,57.86,62.38,EX,5000,1.2,1.03,-31.4,3430,4116,PC,WHT,EX,74,,1112122802,IND,CN0,SN0,CW1,SW2,N,Y,N,,,EX,http://view.diadna.com/dna/1112122802,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1112122802/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1112122802/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1112122802/still.jpg,MED - STK,,,
6224804986,http://diamondmedia.s3.amazonaws.com/CERTPDF/6224804986.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1402131901&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1402131901.gif,SI1,J,Pinpoints are not shown.,48.36,13.23,NONE,VG,73.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1402131901/still.jpg,Y,NON,Cloud  Crystal  Feather  Needle,GIA,GIA 6224804986,5.73*5.71*4.19,5.73,5.71,4.19,59.46,56.13,EX,3400,1.2,1,-38.4,2094.4,2513.28,PC,OWH,EX,72,,1402131901,IND,CN2,SN0,CW1,SW1,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1402131901,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1402131901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1402131901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1402131901/still.jpg,STK - THK,,,
2221977180,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221977180.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1403010502&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1403010502.gif,FL,E,,41.38,9.55,NONE,,73.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1403010502/still.jpg,Y,NON,,GIA,GIA 2221977180,5.59*5.44*3.99,5.59,5.44,3.99,57.93,59.71,EX,10400,1.01,1.03,-45,5720,5777.2,PC,WHT,EX,73,,1403010502,IND,CN0,SN0,CW0,SW0,N,N,N,CANADAMARK,,EX,http://view.diadna.com/dna/1403010502,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1403010502/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403010502/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1403010502/still.jpg,THK - VTK,,,
2225794351,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225794351.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1112123702&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1112123702.gif,FL,G,,38.77,8.52,NONE,VG,72.2,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1112123702/still.jpg,Y,NON,,GIA,GIA 2225794351,5.68*5.51*3.98,5.68,5.51,3.98,57.59,59.93,EX,8100,1.01,1.03,-47.3,4268.7,4311.39,PC,WHT,VG,72,,1112123702,IND,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/1112123702,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1112123702/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1112123702/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1112123702/still.jpg,THK,,,
2221839398,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221839398.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1302223402&sr=10&s=20,false,http://diamondmedia.s3.amazonaws.com/PLOTTING/1302223402.gif,IF,F,Minor details of polish are not shown.,40.99,9.19,NONE,VG,70.5,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1302223402/still.jpg,Y,NON,,GIA,GIA 2221839398,5.66*5.59*3.94,5.66,5.59,3.94,58.22,58.74,EX,9400,1.01,1.01,-46.4,5038.4,5088.78,PC,WHT,VG,72,,1302223402,IND,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/1302223402,false,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1302223402/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1302223402/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1302223402/still.jpg,STK,,,
